Matrix,NNZ,Time,Memory,RelError,isCholesky
GT01R.mtx,430909,0.38143994299753103,74.77248,3.875799809832805e-15,False
TSC_OPF_1047.mtx,2012833,2.4062368640006753,127.152128,6.129521931449594e-12,False
ifiss_mat.mtx,3599932,3.5206474059959874,134.92224,7.180872758998441e-14,False
ns3Da.mtx,1679599,4.093872930003272,131.059712,1.0008330650317692e-15,False
G3_circuit.mtx,7660826,23.381954300995858,321.72032,8.731322772877361e-13,True
bundle_adj.mtx,20207907,2.0872683199995663,502.935552,1.3226423060529224e-05,True
nd24k.mtx,28715634,232.58965765500034,468.754432,1.772256586438878e-11,True
