Matrix,Size,Time,Memory,RelError,isCholesky
GT01R.mtx,7980,0.9746886799994172,156.442624,3.875799809832805e-15,False
TSC_OPF_1047.mtx,8140,4.816137832000095,465.40390399999995,6.129521931449594e-12,False
ifiss_mat.mtx,96307,7.096623342999919,618.749952,7.180872758998441e-14,False
ns3Da.mtx,20414,8.043041631000051,568.38144,1.0008330650317692e-15,False
G3_circuit.mtx,1585478,63.25863091699921,1459.068928,8.731322772877361e-13,True
bundle_adj.mtx,513351,5.524216623999564,718.1311999999999,1.3226423060529224e-05,True
