Matrix,NNZ,Time,Memory,RelError,Algorithm
GT01R.mtx,4.309090E+05,2.209375E+00,95.1 ,3.854644E-15,UMFPACK
TSC_OPF_1047.mtx,2.012833E+06,1.929882E+00,222.8,2.410520E-11,UMFPACK
ifiss_mat.mtx,3.599932E+06,4.913514E+00,269.6,1.001640E-13,UMFPACK
ns3Da.mtx,1.679599E+06, 3.457587E+00,178.7,1.032228E-15,UMFPACK
G3_circuit.mtx,7.660826E+06, 1.309316E+02,1275.4,3.883396E-12,CHOLMOD
bundle_adj.mtx,2.020791E+07,1.260204E+01,513.4,1.121015E-05,CHOLMOD
nd24k.mtx,2.871563E+07,9.122728E+01,4289.2,7.198507E-11,CHOLMOD
